Namespace(exp_name='geoai', model='dgcnn', dataset='S3DIS', test_area='4', batch_size=16, test_batch_size=8, epochs=250, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='')
Using GPU : 0 from 1 devices
Train 50, loss: nan, train acc: 0.787193, train avg acc: 0.500000, train iou: 0.393597
Test 50, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 51, loss: nan, train acc: 0.787193, train avg acc: 0.500000, train iou: 0.393596
Test 51, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 52, loss: nan, train acc: 0.787220, train avg acc: 0.500000, train iou: 0.393610
Test 52, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 53, loss: nan, train acc: 0.787207, train avg acc: 0.500000, train iou: 0.393604
Test 53, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 54, loss: nan, train acc: 0.787205, train avg acc: 0.500000, train iou: 0.393603
Test 54, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 55, loss: nan, train acc: 0.787220, train avg acc: 0.500000, train iou: 0.393610
Test 55, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 56, loss: nan, train acc: 0.787211, train avg acc: 0.500000, train iou: 0.393605
Test 56, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 57, loss: nan, train acc: 0.787208, train avg acc: 0.500000, train iou: 0.393604
Test 57, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 58, loss: nan, train acc: 0.787226, train avg acc: 0.500000, train iou: 0.393613
Test 58, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 59, loss: nan, train acc: 0.787213, train avg acc: 0.500000, train iou: 0.393607
Test 59, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 60, loss: nan, train acc: 0.787191, train avg acc: 0.500000, train iou: 0.393596
Test 60, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 61, loss: nan, train acc: 0.787215, train avg acc: 0.500000, train iou: 0.393607
Test 61, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 62, loss: nan, train acc: 0.787193, train avg acc: 0.500000, train iou: 0.393597
Test 62, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 63, loss: nan, train acc: 0.787193, train avg acc: 0.500000, train iou: 0.393596
Test 63, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 64, loss: nan, train acc: 0.787210, train avg acc: 0.500000, train iou: 0.393605
Test 64, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 65, loss: nan, train acc: 0.787258, train avg acc: 0.500000, train iou: 0.393629
Test 65, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 66, loss: nan, train acc: 0.787192, train avg acc: 0.500000, train iou: 0.393596
Test 66, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 67, loss: nan, train acc: 0.787182, train avg acc: 0.500000, train iou: 0.393591
Test 67, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 68, loss: nan, train acc: 0.787212, train avg acc: 0.500000, train iou: 0.393606
Test 68, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 69, loss: nan, train acc: 0.787213, train avg acc: 0.500000, train iou: 0.393606
Test 69, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 70, loss: nan, train acc: 0.787223, train avg acc: 0.500000, train iou: 0.393611
Test 70, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
Train 71, loss: nan, train acc: 0.787221, train avg acc: 0.500000, train iou: 0.393610
Test 71, loss: nan, test acc: 0.601160, test avg acc: 0.500000, test iou: 0.300580
